Model,Accuracy,Precision,Recall,F1 Score,Cohen's Kappa
Gemini,0.9910714285714286,0.9855072463768116,1.0,0.9927007299270073,0.9812080536912752
Llama,0.9910714285714286,0.9855072463768116,1.0,0.9927007299270073,0.9812080536912752
GPT,0.9910714285714286,0.9855072463768116,1.0,0.9927007299270073,0.9812080536912752
Mistral,0.9910714285714286,0.9855072463768116,1.0,0.9927007299270073,0.9812080536912752
